"Location","Class Date","Class Time","Class Day of Week","Instructors","Classroom","Class Tags","Class Type","Class Category","Membership Checked In Reservations","Membership Grace Cancelled Reservations","Membership Penalty Cancelled Reservations","Membership Grace No Showed Reservations","Membership Penalty No Showed Reservations","Credit Checked In Reservations","Credit Grace Cancelled Reservations","Credit Penalty Cancelled Reservations","Credit Grace No Showed Reservations","Credit Penalty No Showed Reservations"
"London","3/1/2026","9:00 AM","Sunday","Kira Rothwell","SPINCO London","Standard","SPIN","","19","0","1","0","0","13","0","1","0","0"
"London","3/1/2026","10:15 AM","Sunday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","20","0","0","0","1","16","0","1","0","1"
"London","3/1/2026","11:30 AM","Sunday","Sydney Reed","SPINCO London","Standard","SPIN","","15","0","1","0","0","16","0","0","0","1"
"London","3/1/2026","5:00 PM","Sunday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","13","1","2","0","0","11","1","1","1","0"
"London","3/2/2026","6:00 AM","Monday","Keira Else","SPINCO London","Promo,Standard","SPIN","","22","1","3","0","1","11","0","1","0","0"
"London","3/2/2026","12:10 PM","Monday","Sydney Reed","SPINCO London","Standard","SPINCO EXPRESS","","17","0","2","0","0","10","0","0","0","0"
"London","3/2/2026","5:30 PM","Monday","Jack Biggar","SPINCO London","Standard","SPIN","","22","0","1","0","0","7","0","1","0","0"
"London","3/2/2026","6:35 PM","Monday","Sydney Reed","SPINCO London","Standard","SPIN","","16","1","3","0","0","20","0","2","0","0"
"London","3/3/2026","6:00 AM","Tuesday","Jordyn Toonen","SPINCO London","Standard","SPIN","","12","0","1","0","0","3","0","0","0","0"
"London","3/3/2026","7:00 AM","Tuesday","Micayah Coutinho","SPINCO London","Promo,Standard","SPINCO EXPRESS","","9","0","1","0","1","5","0","0","0","0"
"London","3/3/2026","5:30 PM","Tuesday","Rich Ang","SPINCO London","Standard","SPIN","","21","0","3","0","0","16","0","1","0","0"
"London","3/3/2026","6:35 PM","Tuesday","Jack Biggar","SPINCO London","Standard","SPIN","","27","1","1","0","0","9","0","3","0","1"
"London","3/3/2026","7:40 PM","Tuesday","Julia Scharpf","SPINCO London","Special Event","SPIN","","0","0","0","0","0","39","0","3","0","0"
"London","3/4/2026","6:00 AM","Wednesday","Kevin Nanakdewa","SPINCO London","Promo,Standard","SPIN","","23","0","1","0","0","9","0","0","0","1"
"London","3/4/2026","9:30 AM","Wednesday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","13","0","1","0","2","7","0","0","0","1"
"London","3/4/2026","5:30 PM","Wednesday","Keira Else","SPINCO London","Promo,Standard","SPIN","","19","0","2","0","1","18","0","1","1","2"
"London","3/4/2026","6:35 PM","Wednesday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","23","0","3","0","0","14","0","1","0","0"
"London","3/5/2026","6:00 AM","Thursday","Madalyn Richards","SPINCO London","Promo,Standard","SPIN","","21","0","1","0","0","8","0","0","0","0"
"London","3/5/2026","7:00 AM","Thursday","Jordyn Toonen","SPINCO London","Promo,Standard","SPINCO EXPRESS","","20","0","0","0","0","6","0","0","0","1"
"London","3/5/2026","5:30 PM","Thursday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","19","0","4","0","3","13","0","1","0","1"
"London","3/5/2026","6:35 PM","Thursday","Brooke Schidowka","SPINCO London","Promo,Standard","SPIN","","21","1","5","0","0","15","0","0","0","1"
"London","3/6/2026","6:00 AM","Friday","Kira Rothwell","SPINCO London","Promo,Standard","SPIN","","15","0","1","0","1","8","2","1","0","0"
"London","3/6/2026","9:30 AM","Friday","Sydney Reed","SPINCO London","Standard","SPIN","","21","1","2","0","0","16","0","2","0","2"
"London","3/6/2026","4:45 PM","Friday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","22","0","2","0","1","18","0","2","0","0"
"London","3/6/2026","6:00 PM","Friday","Jadyn Clark","SPINCO London","Spin-It-Forward","SPIN-IT-FORWARD","","0","0","0","0","0","38","1","2","0","0"
"London","3/6/2026","7:30 PM","Friday","Micayah Coutinho","SPINCO London","","PRIVATE 50 MIN","","0","0","0","0","0","0","0","0","0","0"
"London","3/7/2026","8:00 AM","Saturday","Jordyn Toonen","SPINCO London","Promo,Standard","SPIN","","15","0","0","0","0","4","0","0","0","0"
"London","3/7/2026","9:00 AM","Saturday","Rich Ang","SPINCO London","Promo,Standard","SPIN","","20","0","1","0","1","11","0","0","0","0"
"London","3/7/2026","10:15 AM","Saturday","Madalyn Richards","SPINCO London","Promo,Standard","SPIN","","21","0","1","0","0","18","0","1","0","0"
"London","3/8/2026","9:00 AM","Sunday","Sydney Reed","SPINCO London","Standard","SPIN","","12","0","3","0","0","8","0","2","0","1"
"London","3/8/2026","10:15 AM","Sunday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","22","0","0","0","0","10","0","1","0","0"
"London","3/8/2026","11:30 AM","Sunday","Jadyn Clark","SPINCO London","Standard","SPIN","","14","0","0","0","0","15","0","2","0","1"
"London","3/8/2026","5:00 PM","Sunday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","20","0","1","0","1","16","0","4","0","0"
"London","3/9/2026","6:00 AM","Monday","Madalyn Richards","SPINCO London","Promo,Standard","SPIN","","12","0","2","0","0","4","0","2","0","0"
"London","3/9/2026","12:10 PM","Monday","Sydney Reed","SPINCO London","Standard","SPINCO EXPRESS","","11","0","1","0","1","16","0","1","0","1"
"London","3/9/2026","5:30 PM","Monday","Jack Biggar","SPINCO London","Standard","SPIN","","20","0","3","0","0","8","0","1","0","0"
"London","3/9/2026","6:35 PM","Monday","Sydney Reed","SPINCO London","Standard","SPIN","","28","0","1","0","0","13","0","1","0","0"
"London","3/10/2026","6:00 AM","Tuesday","Jordyn Toonen","SPINCO London","Standard","SPIN","","13","0","0","0","0","3","0","0","0","0"
"London","3/10/2026","7:00 AM","Tuesday","Micayah Coutinho","SPINCO London","Promo,Standard","SPINCO EXPRESS","","13","0","0","0","1","8","0","2","0","0"
"London","3/10/2026","5:30 PM","Tuesday","Rich Ang","SPINCO London","Standard","SPIN","","25","0","2","0","1","9","0","0","0","0"
"London","3/10/2026","6:35 PM","Tuesday","Jack Biggar","SPINCO London","Standard","SPIN","","15","0","1","0","0","19","0","2","0","0"
"London","3/10/2026","7:40 PM","Tuesday","Julia Scharpf","SPINCO London","Special Event","SPIN","","0","0","0","0","0","40","0","2","0","1"
"London","3/11/2026","6:00 AM","Wednesday","Kevin Nanakdewa","SPINCO London","Promo,Standard","SPIN","","16","0","0","0","3","6","0","0","0","0"
"London","3/11/2026","9:30 AM","Wednesday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","19","0","2","0","0","16","0","0","0","2"
"London","3/11/2026","5:30 PM","Wednesday","Keira Else","SPINCO London","Promo,Standard","SPIN","","15","0","2","0","0","23","0","0","3","0"
"London","3/11/2026","6:35 PM","Wednesday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","27","0","1","0","0","12","0","1","0","1"
"London","3/12/2026","6:00 AM","Thursday","Madalyn Richards","SPINCO London","Promo,Standard","SPIN","","15","0","1","0","0","6","0","2","0","0"
"London","3/12/2026","7:00 AM","Thursday","Jordyn Toonen","SPINCO London","Promo,Standard","SPINCO EXPRESS","","12","0","1","0","0","7","0","0","0","0"
"London","3/12/2026","5:30 PM","Thursday","Sydney Reed","SPINCO London","Promo,Standard","SPIN","","25","0","1","0","0","16","0","1","0","0"
"London","3/12/2026","6:35 PM","Thursday","Keira Else","SPINCO London","Promo,Standard","SPIN","","22","3","1","0","0","14","0","2","0","1"
"London","3/13/2026","6:00 AM","Friday","Sydney Reed,Kevin Nanakdewa","SPINCO London","Promo,Standard","TEAM TEACH","","20","0","0","0","1","11","0","0","0","0"
"London","3/13/2026","9:30 AM","Friday","Sydney Reed","SPINCO London","Standard","SPIN","","9","0","2","0","2","15","0","0","0","0"
"London","3/13/2026","4:45 PM","Friday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","23","1","3","0","0","12","2","4","0","0"
"London","3/13/2026","6:00 PM","Friday","Jadyn Clark","SPINCO London","Spin-It-Forward","SPIN-IT-FORWARD","","0","0","0","0","0","41","0","2","0","1"
"London","3/14/2026","8:00 AM","Saturday","Jordyn Toonen","SPINCO London","Promo,Standard","SPIN","","10","0","0","0","0","4","0","1","0","0"
"London","3/14/2026","9:00 AM","Saturday","Rich Ang","SPINCO London","Promo,Standard","SPIN","","18","0","1","0","0","8","0","0","0","0"
"London","3/14/2026","10:15 AM","Saturday","Madalyn Richards","SPINCO London","Promo,Standard","SPIN","","13","0","1","0","0","7","0","0","0","0"
"London","3/15/2026","9:00 AM","Sunday","Rich Ang","SPINCO London","Standard","SPIN","","9","0","0","0","0","21","0","2","0","0"
"London","3/15/2026","10:15 AM","Sunday","Micayah Coutinho","SPINCO London","Promo,Standard","SPIN","","15","0","0","0","0","7","0","0","0","1"
"London","3/15/2026","11:30 AM","Sunday","Jadyn Clark","SPINCO London","Standard","SPIN","","11","0","1","0","0","10","0","0","1","1"
