"Location","Class Date","Class Time","Class Day of Week","Instructors","Classroom","Class Tags","Class Type","Class Category","Membership Checked In Reservations","Membership Grace Cancelled Reservations","Membership Penalty Cancelled Reservations","Membership Grace No Showed Reservations","Membership Penalty No Showed Reservations","Credit Checked In Reservations","Credit Grace Cancelled Reservations","Credit Penalty Cancelled Reservations","Credit Grace No Showed Reservations","Credit Penalty No Showed Reservations"
"London","10/1/2025","6:00 AM","Wednesday","Kevin Nanakdewa","SPINCO London","Standard","SPIN","","12","0","2","0","0","7","0","1","0","0"
"London","10/1/2025","9:30 AM","Wednesday","Sydney Reed","SPINCO London","Standard","SPIN","","15","0","1","0","0","8","0","0","0","0"
"London","10/1/2025","5:30 PM","Wednesday","Keira Else","SPINCO London","Standard","SPIN","","14","1","3","1","1","8","0","0","0","0"
"London","10/1/2025","6:35 PM","Wednesday","Jack Biggar","SPINCO London","Standard","SPIN","","6","0","1","0","0","4","0","0","0","0"
"London","10/2/2025","6:00 AM","Thursday","Madalyn Richards","SPINCO London","Standard","SPIN","","13","0","1","0","0","4","1","2","0","0"
"London","10/2/2025","7:00 AM","Thursday","Micayah Coutinho","SPINCO London","Standard","SPINCO EXPRESS","","13","0","1","0","1","12","0","1","0","0"
"London","10/2/2025","5:30 PM","Thursday","Sydney Reed","SPINCO London","Standard","SPIN","","20","1","2","3","1","9","0","1","0","0"
"London","10/2/2025","6:35 PM","Thursday","Brooke Schidowka","SPINCO London","Standard","SPIN","","21","1","1","0","0","19","1","0","0","0"
"London","10/3/2025","6:00 AM","Friday","Kira Rothwell","SPINCO London","Standard","SPIN","","11","0","0","0","1","6","0","0","0","0"
"London","10/3/2025","9:30 AM","Friday","Rich Ang","SPINCO London","Standard","SPIN","","10","1","0","0","1","10","0","0","0","1"
"London","10/3/2025","5:30 PM","Friday","Rich Ang","SPINCO London","Standard","SPIN","","22","1","1","0","0","9","0","1","0","0"
"London","10/3/2025","6:35 PM","Friday","Brooke Schidowka","SPINCO London","Spin-It-Forward","SPIN-IT-FORWARD","","0","0","0","0","0","32","0","0","0","1"
"London","10/4/2025","8:00 AM","Saturday","Jordyn Toonen","SPINCO London","Standard","SPINCO EXPRESS","","16","1","0","0","1","12","0","1","0","0"
"London","10/4/2025","9:00 AM","Saturday","Rich Ang","SPINCO London","Standard","SPIN","","7","0","0","0","0","0","0","1","0","0"
"London","10/4/2025","10:15 AM","Saturday","Brooke Schidowka","SPINCO London","Standard","SPIN","","19","0","1","0","0","18","0","0","0","1"
"London","10/5/2025","9:00 AM","Sunday","Kira Rothwell","SPINCO London","Standard","SPIN","","18","1","0","0","2","8","0","1","0","0"
"London","10/5/2025","10:15 AM","Sunday","Madalyn Richards","SPINCO London","Standard","SPIN","","8","0","2","0","0","8","0","0","2","0"
"London","10/5/2025","11:30 AM","Sunday","Sydney Reed","SPINCO London","Standard","SPIN","","6","0","0","0","0","9","0","0","0","0"
"London","10/5/2025","5:00 PM","Sunday","Jack Biggar,Sydney Reed","SPINCO London","Standard","SPIN","","14","0","1","0","0","11","0","2","0","0"
"London","10/6/2025","6:00 AM","Monday","Brooke Schidowka","SPINCO London","Standard","SPIN","","16","1","0","0","1","6","0","1","0","0"
"London","10/6/2025","9:30 AM","Monday","Rich Ang","SPINCO London","Standard","SPIN","","7","0","1","1","2","4","0","0","0","0"
"London","10/6/2025","5:30 PM","Monday","Madalyn Richards","SPINCO London","Standard","SPIN","","13","0","1","0","0","11","0","2","0","0"
"London","10/6/2025","6:35 PM","Monday","Brooke Schidowka,Micayah Coutinho","SPINCO London","Standard","TEAM TEACH","","20","0","1","0","0","21","0","2","0","0"
"London","10/7/2025","6:00 AM","Tuesday","Jordyn Toonen","SPINCO London","Standard","SPIN","","7","0","0","0","0","5","0","0","0","0"
"London","10/7/2025","7:00 AM","Tuesday","Keira Else","SPINCO London","Standard","SPINCO EXPRESS","","8","0","1","0","0","14","0","0","0","1"
"London","10/7/2025","5:30 PM","Tuesday","Rich Ang","SPINCO London","Standard","SPIN","","10","0","0","1","0","6","0","0","0","1"
"London","10/7/2025","6:35 PM","Tuesday","Jordyn Toonen","SPINCO London","Standard","SPIN","","18","0","0","0","0","11","0","0","0","0"
